datetime,month,day,hour,t,Station,x,Rainfall_Aries,Rainfall_Boso,Rainfall_Campana,Rainfall_Nangka,Rainfall_Oro,Waterlevel,Discharge,Cross_Section,Velocity,fric_coeff,slope
2016-06-27 23:00:00,6,27,23,169200.0,Montalban,0,0,0,0,0,0,20.58,9.4720007195621,617.4,0.0153417569153905,0.035,0.002
2016-06-27 23:00:00,6,27,23,169200.0,Sto_Nino,14420,0,0,0,0,0,12.04,17.814557759259355,794.64,0.0224184004823056,0.033,0.0006666666666666
2016-06-28 00:00:00,6,28,0,172800.0,Montalban,0,0,0,0,0,0,20.58,9.4720007195621,617.4,0.0153417569153905,0.035,0.002
2016-06-28 00:00:00,6,28,0,172800.0,Sto_Nino,14420,0,0,0,0,0,12.03,17.600756274114627,793.9799999999999,0.0221677577194823,0.033,0.0006666666666666
2016-06-28 01:00:00,6,28,1,176400.0,Montalban,0,0,0,0,0,0,20.58,9.4720007195621,617.4,0.0153417569153905,0.035,0.002
2016-06-28 01:00:00,6,28,1,176400.0,Sto_Nino,14420,0,0,0,0,0,12.02,17.389021262856122,793.3199999999999,0.0219193027565876,0.033,0.0006666666666666
2016-06-28 02:00:00,6,28,2,180000.0,Montalban,0,0,0,0,0,0,20.57,9.377509972773408,617.1,0.0151960945920813,0.035,0.002
2016-06-28 02:00:00,6,28,2,180000.0,Sto_Nino,14420,0,0,0,0,0,12.02,17.389021262856122,793.3199999999999,0.0219193027565876,0.033,0.0006666666666666
2016-06-28 03:00:00,6,28,3,183600.0,Montalban,0,0,0,0,0,0,20.57,9.377509972773408,617.1,0.0151960945920813,0.035,0.002
2016-06-28 03:00:00,6,28,3,183600.0,Sto_Nino,14420,0,0,0,0,0,12.01,17.17933760265388,792.66,0.0216730219799837,0.033,0.0006666666666666
2016-06-28 04:00:00,6,28,4,187200.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-28 04:00:00,6,28,4,187200.0,Sto_Nino,14420,0,0,0,0,0,12.0,16.971690245684304,792.0,0.0214289018253589,0.033,0.0006666666666666
2016-06-28 05:00:00,6,28,5,190800.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-28 05:00:00,6,28,5,190800.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 06:00:00,6,28,6,194400.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-28 06:00:00,6,28,6,194400.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 07:00:00,6,28,7,198000.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-28 07:00:00,6,28,7,198000.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 08:00:00,6,28,8,201600.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-28 08:00:00,6,28,8,201600.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 09:00:00,6,28,9,205200.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-28 09:00:00,6,28,9,205200.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 10:00:00,6,28,10,208800.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-28 10:00:00,6,28,10,208800.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 11:00:00,6,28,11,212400.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-28 11:00:00,6,28,11,212400.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 12:00:00,6,28,12,216000.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-28 12:00:00,6,28,12,216000.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 13:00:00,6,28,13,219600.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-28 13:00:00,6,28,13,219600.0,Sto_Nino,14420,0,0,0,0,0,11.98,16.56244462401487,790.6800000000001,0.0209470893711929,0.033,0.0006666666666666
2016-06-28 14:00:00,6,28,14,223200.0,Montalban,0,0,0,0,0,0,20.54,9.099548950695976,616.1999999999999,0.0147672005042128,0.035,0.002
2016-06-28 14:00:00,6,28,14,223200.0,Sto_Nino,14420,0,0,0,0,0,11.98,16.56244462401487,790.6800000000001,0.0209470893711929,0.033,0.0006666666666666
2016-06-28 15:00:00,6,28,15,226800.0,Montalban,0,0,0,0,0,0,20.54,9.099548950695976,616.1999999999999,0.0147672005042128,0.035,0.002
2016-06-28 15:00:00,6,28,15,226800.0,Sto_Nino,14420,0,0,0,0,0,11.99,16.76606421893586,791.34,0.0211869287776883,0.033,0.0006666666666666
2016-06-28 16:00:00,6,28,16,230400.0,Montalban,0,0,0,0,0,0,20.54,9.099548950695976,616.1999999999999,0.0147672005042128,0.035,0.002
